-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 11/21/2025 in LST
Location: latitude  11.5662   longitude 104.882 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 9.54 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
PS              MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,RH2M,WS10M,WD10M,PS,PRECTOTCORR
2010,1,1,35.91,22.72,28.1,63.55,2.53,130.1,100.82,0.0
2010,1,2,35.31,21.87,27.87,62.53,2.35,127.4,100.86,0.0
2010,1,3,36.35,24.11,29.35,65.41,2.31,155.4,100.83,0.01
2010,1,4,34.66,23.64,28.5,69.15,2.26,164.9,100.78,4.16
2010,1,5,34.93,22.57,28.17,67.22,3.11,142.1,100.77,0.0
2010,1,6,35.09,22.72,27.99,64.69,3.21,145.2,100.87,0.0
2010,1,7,35.93,22.36,28.3,63.21,2.49,144.0,101.01,0.0
2010,1,8,34.86,23.25,28.59,62.93,1.89,30.9,101.04,0.0
2010,1,9,35.22,23.89,29.13,59.62,1.62,102.1,100.96,0.08
2010,1,10,34.69,23.68,28.36,67.93,2.36,207.5,100.99,1.04
2010,1,11,34.87,23.27,28.51,65.96,2.24,210.6,101.08,0.21
2010,1,12,34.17,22.86,28.12,66.93,2.24,159.3,101.14,0.87
2010,1,13,33.19,23.79,27.86,58.01,3.26,62.0,101.33,0.02
2010,1,14,33.15,22.03,26.96,53.11,4.34,52.9,101.47,0.02
2010,1,15,34.1,20.98,27.25,52.87,3.58,47.5,101.36,0.0
2010,1,16,33.04,22.15,26.78,51.37,4.17,46.9,101.42,0.0
2010,1,17,34.43,21.73,27.52,48.61,5.16,37.0,101.38,0.0
2010,1,18,34.47,22.16,27.93,48.45,3.55,27.0,101.25,0.0
2010,1,19,29.82,23.46,26.03,66.32,3.81,17.6,101.12,4.56
2010,1,20,27.91,22.06,24.76,84.94,6.31,20.4,100.85,8.76
2010,1,21,33.14,23.4,27.11,73.1,5.6,142.1,101.03,0.23
2010,1,22,34.88,21.23,27.69,70.89,3.55,138.8,101.16,0.09
2010,1,23,35.36,22.4,28.25,67.58,2.46,141.8,101.14,0.08
2010,1,24,35.06,23.24,28.3,62.08,2.23,114.7,101.16,0.08
2010,1,25,36.29,22.29,28.88,59.83,2.69,68.2,101.1,0.16
2010,1,26,35.75,22.62,28.56,58.88,2.92,70.0,101.13,0.39
2010,1,27,35.69,22.75,28.97,56.44,2.97,73.2,101.1,0.0
2010,1,28,36.51,22.48,29.23,57.36,2.64,131.9,101.08,0.0
2010,1,29,35.72,22.85,29.4,59.27,2.08,134.8,101.1,0.0
2010,1,30,36.12,23.36,29.54,59.64,2.64,174.1,101.07,0.01
2010,1,31,37.0,23.48,29.75,54.06,2.9,158.5,101.11,0.0
2010,2,1,37.08,22.94,29.66,55.23,2.83,161.4,101.01,0.0
2010,2,2,37.27,23.67,30.41,56.82,3.43,169.5,100.93,0.0
2010,2,3,37.14,25.01,30.86,54.77,2.96,156.1,100.94,0.0
2010,2,4,37.44,23.62,30.04,53.48,3.75,150.4,100.99,0.0
2010,2,5,37.49,23.17,30.23,54.08,2.75,166.2,101.0,0.0
2010,2,6,37.38,24.52,30.53,54.64,3.6,160.7,101.07,0.0
2010,2,7,37.79,24.08,30.72,50.98,3.56,154.5,101.08,0.0
2010,2,8,38.02,24.66,30.87,53.77,4.38,151.5,100.99,0.04
2010,2,9,38.05,23.09,30.24,55.55,3.94,146.9,100.98,0.0
2010,2,10,37.52,23.76,30.31,55.98,3.57,147.1,100.99,0.0
2010,2,11,37.7,23.2,30.32,54.66,3.09,145.4,101.08,0.0
2010,2,12,37.88,23.9,30.63,52.31,3.39,149.4,101.09,0.02
2010,2,13,37.95,23.9,30.74,53.13,2.82,147.6,100.97,0.02
2010,2,14,38.03,24.36,30.86,51.7,3.01,153.4,100.89,0.22
2010,2,15,38.21,24.05,30.68,51.97,3.49,141.4,101.0,0.0
2010,2,16,39.03,24.06,30.71,50.27,3.97,138.5,101.02,0.0
2010,2,17,39.02,24.32,31.21,47.87,2.8,62.4,101.04,0.0
2010,2,18,38.5,24.49,31.15,46.93,3.22,93.5,101.05,0.15
2010,2,19,37.81,25.13,30.76,54.62,3.0,101.4,101.1,5.81
2010,2,20,36.27,25.41,30.6,56.73,2.38,177.9,101.09,0.01
2010,2,21,36.76,25.68,30.85,55.12,3.33,189.4,101.06,0.03
2010,2,22,37.78,26.48,31.7,53.25,2.54,189.4,101.01,0.03
2010,2,23,38.31,26.7,31.95,51.5,4.06,173.4,100.86,0.0
2010,2,24,39.21,25.25,31.49,49.3,3.53,190.1,100.81,0.0
2010,2,25,39.62,24.91,31.95,51.28,2.82,220.0,100.83,0.0
2010,2,26,39.65,26.14,32.82,50.75,2.41,199.1,100.75,0.0
2010,2,27,40.23,26.81,32.86,48.72,3.5,167.9,100.74,0.0
2010,2,28,39.69,26.13,32.41,49.71,4.37,159.5,100.87,0.01
2010,3,1,40.12,25.21,32.53,48.59,3.61,171.9,100.97,0.0
2010,3,2,38.59,26.18,32.02,48.49,2.92,194.0,100.89,0.0
2010,3,3,40.57,25.97,32.82,50.09,4.36,177.1,100.75,0.0
2010,3,4,40.35,26.7,33.08,50.24,3.53,200.6,100.77,0.0
2010,3,5,40.75,26.31,33.15,48.78,3.45,202.1,100.78,0.0
2010,3,6,40.97,26.35,33.22,48.59,3.71,195.5,100.87,0.0
2010,3,7,40.36,26.59,33.11,48.47,3.72,179.6,100.91,0.0
2010,3,8,40.04,26.6,32.79,47.56,3.49,171.0,100.93,0.0
2010,3,9,39.84,26.63,33.08,48.81,3.39,135.8,101.09,0.33
2010,3,10,37.83,26.64,31.77,42.28,4.83,57.4,101.25,0.56
2010,3,11,37.79,23.83,31.09,42.44,3.79,71.9,101.37,0.03
2010,3,12,39.12,25.69,32.34,46.76,2.48,169.2,101.23,0.48
2010,3,13,39.18,26.01,32.39,48.51,3.05,180.5,101.07,0.49
2010,3,14,38.58,26.57,32.02,53.08,3.12,169.3,100.91,4.94
2010,3,15,39.39,25.54,32.09,50.34,2.79,168.7,100.86,0.0
2010,3,16,39.9,26.08,32.07,48.8,4.45,133.0,100.95,0.19
2010,3,17,40.01,25.67,32.41,46.98,3.48,80.6,101.11,0.0
2010,3,18,39.47,25.95,32.16,43.64,4.0,70.2,101.12,0.0
2010,3,19,38.25,26.06,31.72,43.33,2.86,91.8,100.99,0.0
2010,3,20,38.59,25.99,32.32,49.26,3.28,172.8,100.84,0.01
2010,3,21,38.96,26.49,32.49,48.36,3.71,164.3,100.73,0.11
2010,3,22,39.1,26.53,32.73,49.02,4.14,160.0,100.64,0.0
2010,3,23,38.96,26.57,32.72,49.15,4.08,173.6,100.58,0.0
2010,3,24,40.16,27.36,33.77,47.47,2.16,186.7,100.59,0.0
2010,3,25,40.15,28.09,33.98,49.74,2.53,180.6,100.6,4.59
2010,3,26,29.85,24.4,27.23,71.78,4.42,73.7,100.98,4.78
2010,3,27,36.64,23.34,29.56,63.94,2.87,34.6,101.02,3.91
2010,3,28,37.75,25.07,31.2,58.78,3.08,80.8,100.94,1.18
2010,3,29,37.59,26.39,31.01,59.98,3.13,110.9,100.96,4.28
2010,3,30,34.92,25.34,29.91,67.42,1.92,189.9,100.95,5.58
2010,3,31,34.5,26.04,30.05,66.63,2.5,204.8,100.96,0.02
2010,4,1,36.23,26.12,31.12,61.84,2.76,167.2,100.87,0.0
2010,4,2,38.71,26.33,32.22,56.79,3.01,129.7,100.81,0.02
2010,4,3,37.82,27.06,31.76,58.13,2.97,157.1,100.88,0.71
2010,4,4,38.23,26.16,31.89,55.96,3.12,175.9,100.88,0.41
2010,4,5,39.76,27.22,33.31,51.96,2.86,179.7,100.72,0.99
2010,4,6,40.29,27.34,33.57,52.58,3.03,186.2,100.74,0.0
2010,4,7,40.86,28.28,34.2,49.02,3.31,169.4,100.85,0.0
2010,4,8,39.79,27.52,33.6,48.29,3.63,160.4,100.92,0.05
2010,4,9,39.37,28.06,33.49,49.27,2.91,194.0,100.77,0.0
2010,4,10,40.33,27.44,33.62,48.14,3.89,187.0,100.59,0.0
2010,4,11,39.98,28.19,33.61,50.92,3.85,193.3,100.57,0.0
2010,4,12,40.38,28.4,33.85,50.49,4.46,194.7,100.56,0.0
2010,4,13,41.46,28.25,34.53,48.31,3.48,183.4,100.64,0.01
2010,4,14,41.47,28.05,34.19,45.39,4.52,145.5,100.72,0.06
2010,4,15,38.03,28.15,32.02,58.53,3.29,140.9,100.81,4.73
2010,4,16,35.17,27.28,31.22,60.94,2.27,149.0,100.91,0.98
2010,4,17,34.09,26.96,30.05,63.74,2.02,122.0,101.01,1.27
2010,4,18,35.86,26.94,30.95,62.78,1.52,309.3,100.91,3.9
2010,4,19,34.44,27.28,30.61,64.85,2.48,179.5,100.78,0.42
2010,4,20,32.44,27.11,29.52,72.27,2.73,201.1,100.71,1.84
2010,4,21,33.98,26.46,30.08,69.53,2.26,199.1,100.71,0.02
2010,4,22,35.64,26.68,30.99,66.31,2.94,195.4,100.77,1.54
2010,4,23,37.69,26.92,32.33,59.89,2.76,152.2,100.81,1.07
2010,4,24,38.71,26.83,32.61,54.59,2.72,126.8,100.86,0.1
2010,4,25,40.39,27.35,33.65,47.57,2.66,152.1,100.82,0.04
2010,4,26,41.18,27.5,34.05,47.49,3.32,165.1,100.94,1.33
2010,4,27,38.34,28.8,33.13,51.89,2.56,161.5,101.0,0.56
2010,4,28,34.91,27.8,30.92,62.91,2.66,207.3,100.98,3.12
2010,4,29,36.28,28.03,31.81,58.28,2.11,165.6,100.88,0.01
2010,4,30,37.03,28.37,32.26,55.83,2.28,168.1,100.88,0.33
2010,5,1,31.69,26.04,29.04,66.11,3.06,77.8,100.95,2.48
2010,5,2,37.76,25.16,31.29,64.3,1.55,136.9,100.76,3.7
2010,5,3,34.47,25.96,29.9,66.63,3.74,125.0,100.65,1.84
2010,5,4,35.51,25.63,29.62,73.09,2.14,221.7,100.55,11.33
2010,5,5,38.34,25.37,31.52,64.16,2.47,213.8,100.44,0.05
2010,5,6,37.95,27.13,32.35,62.86,2.27,217.1,100.45,0.0
2010,5,7,40.63,27.27,33.56,58.03,2.42,205.2,100.39,0.0
2010,5,8,39.39,27.68,33.32,59.65,2.4,202.9,100.31,3.13
2010,5,9,38.35,27.97,33.11,60.19,2.29,202.8,100.29,0.03
2010,5,10,38.09,28.35,33.24,58.56,2.31,205.9,100.32,0.25
2010,5,11,36.97,28.24,32.75,58.9,2.41,148.2,100.46,0.89
2010,5,12,37.3,28.39,32.31,60.28,2.75,140.0,100.56,2.97
2010,5,13,36.16,27.3,31.75,63.06,2.59,158.0,100.56,0.64
2010,5,14,34.16,28.48,30.97,65.95,2.33,131.9,100.49,0.59
2010,5,15,37.77,27.33,31.83,63.4,2.11,147.8,100.45,1.66
